City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,manay,7.215,126.5397,302.22,65,99,4.14,PH,2024-09-17
1,petropavlovsk-kamchatsky,53.0452,158.6483,287.48,38,20,5.0,RU,2024-09-17
2,puerto ayora,-0.7393,-90.3518,294.57,95,62,1.79,EC,2024-09-17
3,hawaiian paradise park,19.5933,-154.9731,301.89,77,100,3.09,US,2024-09-17
4,salinopolis,-0.6136,-47.3561,300.0,79,1,6.03,BR,2024-09-17
5,kachia,9.8667,7.95,294.37,93,100,0.84,NG,2024-09-17
6,blackmans bay,-43.0167,147.3167,285.78,61,98,6.47,AU,2024-09-17
7,thompson,55.7435,-97.8558,288.57,61,0,1.5,CA,2024-09-17
8,edinburgh of the seven seas,-37.0676,-12.3116,283.13,67,8,16.18,SH,2024-09-17
9,kourou,5.1552,-52.6478,299.55,81,6,4.49,GF,2024-09-17
10,grytviken,-54.2811,-36.5092,270.83,80,9,5.6,GS,2024-09-17
11,colonia,50.9333,6.95,288.66,87,20,3.09,DE,2024-09-17
12,constantia,44.1833,28.65,286.53,62,9,5.46,RO,2024-09-17
13,kuala tungkal,-0.8167,103.4667,299.09,85,100,3.09,ID,2024-09-17
14,bredasdorp,-34.5322,20.0403,281.12,89,9,1.08,ZA,2024-09-17
15,pisco,-13.7,-76.2167,289.18,82,0,6.17,PE,2024-09-17
16,avarua,-21.2078,-159.775,299.18,78,75,5.14,CK,2024-09-17
17,port-aux-francais,-49.35,70.2167,277.55,96,100,15.76,TF,2024-09-17
18,adamstown,-25.066,-130.1015,291.83,87,100,7.38,PN,2024-09-17
19,papatowai,-46.5619,169.4708,278.7,74,97,7.23,NZ,2024-09-17
20,coquimbo,-29.9533,-71.3436,287.0,87,100,3.6,CL,2024-09-17
21,cova figueira,14.8905,-24.2934,293.51,82,89,3.0,CV,2024-09-17
22,terenozek,45.05,64.9833,290.74,42,100,9.73,KZ,2024-09-17
23,holualoa,19.6228,-155.9522,301.23,84,40,4.63,US,2024-09-17
24,araxa,-19.5933,-46.9406,293.57,49,13,2.33,BR,2024-09-17
25,lichinga,-13.3128,35.2406,290.2,72,0,3.09,MZ,2024-09-17
26,serang,-6.1149,106.1502,300.29,63,100,1.4,ID,2024-09-17
27,aasiaat,68.7098,-52.8699,270.15,89,96,1.36,GL,2024-09-17
28,juchipila,21.4167,-103.1167,300.29,52,80,2.03,MX,2024-09-17
29,waitangi,-43.9535,-176.5597,286.38,92,100,2.68,NZ,2024-09-17
30,tiksi,71.6872,128.8694,274.72,96,100,3.4,RU,2024-09-17
31,hanumangarh,29.5833,74.3167,299.83,49,0,1.72,IN,2024-09-17
32,sitka,57.0531,-135.33,287.09,77,75,1.54,US,2024-09-17
33,kasserine,35.1676,8.8365,290.86,56,0,1.96,TN,2024-09-17
34,patong,7.8961,98.2966,299.83,99,100,10.96,TH,2024-09-17
35,bilibino,68.0546,166.4372,273.86,77,100,1.4,RU,2024-09-17
36,prado,-17.3411,-39.2208,297.48,78,1,5.49,BR,2024-09-17
37,ribas do rio pardo,-20.4431,-53.7592,293.68,48,1,2.73,BR,2024-09-17
38,west island,-12.1568,96.8225,299.14,65,20,7.72,CC,2024-09-17
39,la ronge,55.1001,-105.2842,290.05,48,99,1.7,CA,2024-09-17
40,san patricio,28.017,-97.5169,301.12,68,0,4.52,US,2024-09-17
41,mount gambier,-37.8333,140.7667,286.12,54,99,4.31,AU,2024-09-17
42,stanley,54.868,-1.6985,280.16,96,0,0.51,GB,2024-09-17
43,colonia menno,-22.3667,-59.8167,293.99,48,0,3.88,PY,2024-09-17
44,qingquan,30.4511,115.2559,299.51,75,98,2.46,CN,2024-09-17
45,alice springs,-23.7,133.8833,291.9,15,91,5.14,AU,2024-09-17
46,'ain deheb,34.8422,1.547,293.94,30,100,1.92,DZ,2024-09-17
47,alofi,-19.0595,-169.9187,300.09,74,100,4.12,NU,2024-09-17
48,tukzar,35.9483,66.4213,286.36,37,71,0.74,AF,2024-09-17
49,kidal,18.4411,1.4078,304.64,45,100,1.37,ML,2024-09-17
50,isafjordur,66.0755,-23.124,276.87,95,100,2.31,IS,2024-09-17
51,wajir,1.7471,40.0573,297.36,71,38,5.97,KE,2024-09-17
52,khandyga,62.6667,135.6,278.83,63,97,1.77,RU,2024-09-17
53,ushuaia,-54.8,-68.3,276.71,95,59,2.86,AR,2024-09-17
54,fort bragg,35.139,-79.006,295.27,94,100,5.14,US,2024-09-17
55,hasaki,35.7333,140.8333,299.67,78,90,2.57,JP,2024-09-17
56,luderitz,-26.6481,15.1594,284.65,86,0,7.5,NA,2024-09-17
57,badger,64.8,-147.5333,283.14,81,100,3.09,US,2024-09-17
58,ribeira grande,38.5167,-28.7,297.47,88,100,6.26,PT,2024-09-17
59,port mathurin,-19.6833,63.4167,294.73,66,46,9.54,MU,2024-09-17
60,iskateley,67.6803,53.1512,286.43,95,100,4.09,RU,2024-09-17
61,olonkinbyen,70.9221,-8.7187,273.94,78,100,0.64,SJ,2024-09-17
62,albany,42.6001,-73.9662,291.92,63,100,1.25,US,2024-09-17
63,saint-pierre,-21.3393,55.4781,292.97,64,0,3.09,RE,2024-09-17
64,ijebu-igbo,6.9798,4.0033,296.25,97,100,0.86,NG,2024-09-17
65,ilulissat,69.2167,-51.1,273.16,93,100,0.0,GL,2024-09-17
66,chonchi,-42.6128,-73.8092,279.88,91,99,1.01,CL,2024-09-17
67,yarovoye,52.9273,78.58,276.89,78,2,3.34,RU,2024-09-17
68,burang,30.25,81.1667,277.95,71,5,1.83,CN,2024-09-17
69,anadyr,64.75,177.4833,282.43,87,75,2.0,RU,2024-09-17
70,kapuskasing,49.4169,-82.4331,294.11,82,3,3.44,CA,2024-09-17
71,belmonte,-15.8631,-38.8828,296.17,84,0,3.52,BR,2024-09-17
72,ust-nera,64.5667,143.2,277.25,63,100,3.04,RU,2024-09-17
73,padang,-0.9492,100.3543,298.18,88,100,0.87,ID,2024-09-17
74,mayya,61.7333,130.2811,279.03,57,34,4.1,RU,2024-09-17
75,qarchi gak,37.04,66.7889,291.46,46,47,7.83,AF,2024-09-17
76,kahama,-3.8333,32.6,295.81,42,50,2.5,TZ,2024-09-17
77,tazacorte,28.629,-17.9293,294.69,81,75,3.09,ES,2024-09-17
78,kangasala,61.4638,24.076,287.05,99,100,1.06,FI,2024-09-17
79,remire-montjoly,4.9167,-52.2667,300.17,83,92,2.57,GF,2024-09-17
80,margaret river,-33.95,115.0667,290.1,55,0,1.25,AU,2024-09-17
81,afaahiti,-17.75,-149.2833,297.26,86,100,5.06,PF,2024-09-17
82,emerald,-23.5333,148.1667,293.9,28,100,4.78,AU,2024-09-17
83,likiep,9.8251,169.3107,301.17,78,53,3.5,MH,2024-09-17
84,valle de la pascua,9.2155,-66.0073,295.72,99,100,3.42,VE,2024-09-17
85,vila franca do campo,37.7167,-25.4333,295.38,81,72,1.92,PT,2024-09-17
86,tazovsky,67.4667,78.7,277.23,98,76,3.67,RU,2024-09-17
87,kosh-agach,50.0,88.6667,274.15,74,24,0.73,RU,2024-09-17
88,chinde,26.8212,87.7095,297.42,76,90,1.83,NP,2024-09-17
89,al burayqah,30.4062,19.5739,298.49,69,39,4.25,LY,2024-09-17
90,susanville,40.4163,-120.653,284.16,76,100,2.68,US,2024-09-17
91,kingston,17.997,-76.7936,302.68,78,99,1.05,JM,2024-09-17
92,palikir - national government center,6.9248,158.1611,301.56,79,75,2.57,FM,2024-09-17
93,mar del plata,-38.0023,-57.5575,283.76,87,0,1.34,AR,2024-09-17
94,cidreira,-30.1811,-50.2056,288.56,91,0,2.73,BR,2024-09-17
95,lukolela,-1.0605,17.1821,294.77,93,59,1.43,CD,2024-09-17
96,yellowknife,62.456,-114.3525,288.94,82,63,0.89,CA,2024-09-17
97,punta arenas,-53.15,-70.9167,279.21,81,75,10.8,CL,2024-09-17
98,coahuayana de hidalgo,18.7,-103.6583,300.54,87,100,0.18,MX,2024-09-17
99,keflavik,64.0049,-22.5624,281.39,100,75,3.09,IS,2024-09-17
100,valparaiso,-33.0393,-71.6273,284.95,93,100,3.6,CL,2024-09-17
101,seybaplaya,19.65,-90.6667,299.85,77,100,5.63,MX,2024-09-17
102,usinsk,65.9939,57.5281,286.85,93,100,4.78,RU,2024-09-17
103,guerrero negro,27.9769,-114.0611,293.72,70,0,7.29,MX,2024-09-17
104,invercargill,-46.4,168.35,278.72,75,78,4.02,NZ,2024-09-17
105,ko samui,9.5357,99.9357,300.95,79,100,9.75,TH,2024-09-17
106,kirakira,-10.4544,161.9205,301.98,78,17,1.87,SB,2024-09-17
107,greymouth,-42.4667,171.2,283.9,52,82,0.7,NZ,2024-09-17
108,lebu,-37.6167,-73.65,282.75,83,100,5.6,CL,2024-09-17
109,beira,-19.8436,34.8389,296.2,83,0,2.06,MZ,2024-09-17
110,hermanus,-34.4187,19.2345,281.93,84,81,3.51,ZA,2024-09-17
111,saipan,15.1355,145.701,304.54,74,40,5.14,MP,2024-09-17
112,iqaluit,63.7506,-68.5145,275.76,86,100,8.05,CA,2024-09-17
113,bethel,41.3712,-73.414,290.46,91,0,0.45,US,2024-09-17
114,n'zeto,-7.2312,12.8666,294.92,92,34,1.64,AO,2024-09-17
115,pacific grove,36.6177,-121.9166,290.6,88,100,3.6,US,2024-09-17
116,port elizabeth,-33.918,25.5701,287.21,96,0,0.89,ZA,2024-09-17
117,borba,-4.3878,-59.5939,303.56,35,14,1.53,BR,2024-09-17
118,igarka,67.4667,86.5833,276.86,98,66,3.51,RU,2024-09-17
119,kaffrine,14.1059,-15.5508,296.89,96,97,1.37,SN,2024-09-17
120,pont rouge,48.8833,-72.0825,291.97,67,9,2.93,CA,2024-09-17
121,cabedelo,-6.9811,-34.8339,296.52,82,0,5.18,BR,2024-09-17
122,yamada,39.4667,141.95,300.42,56,15,0.8,JP,2024-09-17
123,zhongshu,24.5167,103.7667,291.5,89,99,3.6,CN,2024-09-17
124,whitehorse,60.7161,-135.0538,282.21,70,83,7.6,CA,2024-09-17
125,paka,4.6374,103.4368,299.07,87,99,1.11,MY,2024-09-17
126,san antonio de pale,-1.4014,5.6325,297.64,86,100,6.27,GQ,2024-09-17
127,lihue,21.9789,-159.3672,301.92,72,40,6.69,US,2024-09-17
128,codajas,-3.8367,-62.0569,303.93,34,64,1.36,BR,2024-09-17
129,porto novo,6.4965,2.6036,297.81,88,100,3.1,BJ,2024-09-17
130,masterton,-40.9597,175.6575,279.08,96,100,5.35,NZ,2024-09-17
131,taoudenni,22.6783,-3.9836,308.23,22,14,4.03,ML,2024-09-17
132,sola,-13.8833,167.55,298.27,85,73,11.69,VU,2024-09-17
133,ouani,-12.1322,44.4258,297.56,77,6,2.32,KM,2024-09-17
134,yeppoon,-23.1333,150.7333,294.12,61,100,6.08,AU,2024-09-17
135,gisborne,-38.6533,178.0042,287.45,51,99,2.89,NZ,2024-09-17
136,namibe,-15.1961,12.1522,290.36,92,21,1.25,AO,2024-09-17
137,roses,42.262,3.1769,294.58,55,100,4.47,ES,2024-09-17
138,vadso,70.0744,29.7487,282.24,76,20,3.09,NO,2024-09-17
139,ust'-charyshskaya pristan',52.3934,83.6635,274.08,93,10,2.79,RU,2024-09-17
140,paulden,34.8856,-112.4682,298.4,24,0,6.71,US,2024-09-17
141,cartagena,10.3997,-75.5144,298.94,83,40,0.51,CO,2024-09-17
142,letlhakane,-21.4167,25.5833,297.49,25,30,6.48,BW,2024-09-17
143,udachny,66.4167,112.4,277.14,88,100,8.05,RU,2024-09-17
144,longyearbyen,78.2186,15.6401,281.06,76,75,2.57,SJ,2024-09-17
145,ennis,52.8436,-8.9864,287.11,82,40,3.09,IE,2024-09-17
146,berdyansk,46.7503,36.7944,293.43,52,100,11.69,UA,2024-09-17
147,georgetown,5.4112,100.3354,301.11,74,40,7.72,MY,2024-09-17
